PEMLR,PRTAGE,PESEX,STATE,PEEDUCA,PXRACE1,state
5,55,2,5,39,0,5
7,60,1,5,40,0,5
7,27,2,5,43,0,5
7,58,2,5,39,0,5
5,74,1,50,43,0,50
5,73,2,50,43,0,50
1,61,2,8,40,0,8
1,59,1,6,43,0,6
1,50,2,6,43,0,6
7,21,1,6,40,0,6
7,20,1,6,40,0,6
1,29,1,5,40,0,5
1,42,1,8,44,0,8
1,39,2,8,43,0,8
7,16,2,8,35,0,8
1,79,1,5,43,0,5
5,80,2,5,40,0,5
1,35,2,15,39,0,15
1,36,1,15,38,0,15
7,17,1,15,34,0,15
7,15,1,15,33,0,15
-1,13,2,15,-1,0,15
-1,10,1,15,-1,0,15
5,59,1,1,39,0,1
1,59,2,1,46,0,1
5,72,2,1,39,0,1
5,75,1,1,39,0,1
1,25,2,1,40,0,1
5,66,2,9,40,0,9
1,38,1,9,39,0,9
7,23,2,20,43,0,20
1,49,1,20,40,0,20
2,44,2,20,39,0,20
1,16,2,20,38,0,20
1,17,1,20,39,0,20
7,55,2,6,39,0,6
1,56,1,6,40,0,6
1,38,1,2,45,0,2
1,29,1,6,40,0,6
-1,3,2,6,-1,0,6
2,56,1,8,31,0,8
1,51,2,8,31,0,8
1,17,1,8,38,0,8
1,20,2,8,40,0,8
5,76,1,8,43,0,8
5,68,2,8,45,0,8
5,72,1,8,45,0,8
1,42,2,37,43,0,37
5,51,1,37,39,0,37
5,70,1,37,40,0,37
5,66,2,37,40,0,37
-1,14,2,37,-1,0,37
6,79,1,6,39,0,6
1,60,2,6,39,0,6
1,61,2,1,43,0,1
5,62,2,1,39,0,1
1,37,1,1,39,0,1
7,31,1,1,40,0,1
7,26,2,6,37,0,6
7,31,1,6,39,0,6
-1,3,2,6,-1,0,6
1,36,1,10,43,0,10
1,28,2,10,43,0,10
1,62,2,1,43,0,1
1,60,2,1,39,0,1
1,55,1,1,39,0,1
2,35,2,8,43,0,8
2,36,1,8,43,0,8
-1,4,2,8,-1,0,8
1,24,2,8,39,11,8
1,23,1,8,39,0,8
1,27,1,6,42,21,6
2,26,2,6,43,21,6
-1,0,2,6,-1,21,6
1,57,1,2,43,0,2
5,74,1,8,39,0,8
7,26,2,8,43,0,8
1,27,1,8,44,0,8
1,39,1,2,39,0,2
1,35,2,2,39,0,2
-1,8,1,2,-1,0,2
-1,3,1,2,-1,0,2
5,74,2,5,39,0,5
5,76,1,5,40,0,5
1,36,1,1,44,0,1
1,34,2,1,46,0,1
-1,2,2,1,-1,0,1
-1,0,2,1,-1,0,1
1,36,1,6,46,0,6
1,36,2,6,44,0,6
-1,2,1,6,-1,0,6
1,54,1,6,40,21,6
1,47,2,6,39,21,6
-1,12,1,6,-1,21,6
-1,10,2,6,-1,21,6
6,64,2,1,39,0,1
1,57,1,1,39,0,1
-1,5,1,1,-1,0,1
-1,6,1,1,-1,0,1
1,44,1,1,36,0,1
1,58,1,4,43,0,4
1,43,2,4,39,0,4
7,17,2,4,36,0,4
-1,9,1,4,-1,0,4
5,70,2,2,41,0,2
7,48,2,50,40,0,50
5,80,2,5,44,0,5
1,55,1,5,44,0,5
1,38,1,36,44,0,36
1,37,2,36,44,0,36
-1,0,2,36,-1,0,36
1,42,1,2,39,0,2
1,44,1,1,44,0,1
1,46,2,6,44,0,6
1,46,1,6,42,11,6
-1,10,2,6,-1,0,6
-1,7,2,6,-1,0,6
1,45,2,36,45,0,36
1,44,1,36,43,0,36
-1,6,2,36,-1,0,36
-1,5,1,36,-1,0,36
-1,1,2,36,-1,0,36
-1,37,1,10,44,0,10
7,38,2,10,44,0,10
-1,8,1,10,-1,0,10
-1,0,2,10,-1,0,10
7,41,2,20,44,0,20
1,41,1,20,43,0,20
-1,12,1,20,-1,0,20
-1,10,1,20,-1,0,20
-1,8,1,20,-1,0,20
-1,5,2,20,-1,0,20
5,72,2,30,44,0,30
1,43,1,30,44,0,30
3,33,2,30,43,0,30
-1,6,2,30,-1,0,30
-1,4,1,30,-1,0,30
-1,3,1,30,-1,0,30
-1,0,2,30,-1,0,30
5,80,2,30,39,0,30
1,53,2,30,44,21,30
-1,12,1,30,-1,21,30
1,45,1,30,39,0,30
2,44,2,30,39,0,30
-1,10,1,30,-1,0,30
1,37,2,40,38,0,40
-1,7,1,40,-1,0,40
1,40,1,40,39,0,40
7,17,2,40,39,0,40
-1,13,2,40,-1,0,40
-1,10,2,40,-1,0,40
-1,8,2,40,-1,0,40
6,58,1,40,42,0,40
7,22,1,40,39,0,40
6,35,1,40,39,0,40
6,36,2,40,39,0,40
4,17,2,40,35,0,40
-1,11,1,40,-1,0,40
1,58,1,40,42,0,40
1,58,2,40,39,0,40
1,47,2,40,39,0,40
1,46,1,40,37,0,40
1,23,1,40,37,0,40
1,23,1,40,39,0,40
1,39,2,50,40,0,50
7,16,1,50,36,0,50
-1,11,2,50,-1,0,50
-1,9,2,50,-1,0,50
5,68,1,50,44,0,50
1,69,2,50,41,0,50
1,20,1,50,39,0,50
1,38,2,50,39,0,50
6,38,1,50,39,0,50
7,18,1,50,37,0,50
-1,12,2,50,-1,0,50
1,20,2,50,39,0,50
5,69,1,50,39,0,50
1,27,2,48,43,21,48
1,36,2,1,44,0,1
1,40,2,1,44,0,1
1,39,2,1,43,0,1
1,39,1,1,46,0,1
-1,9,1,1,-1,0,1
-1,7,1,1,-1,0,1
-1,5,1,1,-1,0,1
5,64,2,10,39,0,10
5,70,1,10,39,0,10
1,31,1,10,39,0,10
5,85,2,1,39,0,1
1,67,2,1,41,0,1
1,69,2,1,44,0,1
1,64,1,1,42,0,1
1,31,1,1,43,0,1
7,30,2,1,41,0,1
-1,11,1,1,-1,0,1
-1,6,1,1,-1,0,1
7,15,1,1,35,0,1
-1,4,1,1,-1,0,1
-1,3,1,1,-1,0,1
1,61,1,21,41,0,21
1,35,1,21,39,0,21
1,55,1,21,41,0,21
1,35,1,21,39,0,21
5,68,1,21,39,0,21
5,66,2,21,42,0,21
1,34,1,21,40,0,21
1,35,2,21,42,0,21
-1,13,1,21,-1,0,21
1,58,1,21,43,0,21
5,53,2,21,40,0,21
7,20,1,21,40,0,21
5,73,1,21,42,0,21
5,70,2,21,42,0,21
5,80,1,21,39,0,21
5,68,1,21,44,0,21
5,66,2,21,46,0,21
6,68,2,21,43,0,21
1,22,2,21,40,0,21
1,62,1,31,43,0,31
5,59,2,31,42,0,31
1,22,2,31,39,0,31
1,52,1,31,40,0,31
